"","scan_date","first_seen","last_seen","total","size","times_submitted","harmless_votes","malicious_votes","positives","submission.submitter_country","additional_info.exiftool.FileType","additional_info.androguard.TargetSdkVersion","scans.Bkav.result","scans.Lionic.result","scans.ClamAV.result","scans.CMC.result","scans.CAT-QuickHeal.result","scans.McAfee.result","scans.ALYac.result","scans.Malwarebytes.result","scans.VIPRE.result","scans.Sangfor.result","scans.K7AntiVirus.result","scans.Alibaba.result","scans.K7GW.result","scans.Trustlook.result","scans.Arcabit.result","scans.Baidu.result","scans.Cyren.result","scans.SymantecMobileInsight.result","scans.Symantec.result","scans.ESET-NOD32.result","scans.TrendMicro-HouseCall.result","scans.Avast.result","scans.Cynet.result","scans.Kaspersky.result","scans.BitDefender.result","scans.NANO-Antivirus.result","scans.SUPERAntiSpyware.result","scans.MicroWorld-eScan.result","scans.Rising.result","scans.Ad-Aware.result","scans.Comodo.result","scans.F-Secure.result","scans.DrWeb.result","scans.Zillya.result","scans.TrendMicro.result","scans.McAfee-GW-Edition.result","scans.FireEye.result","scans.Emsisoft.result","scans.Ikarus.result","scans.Avast-Mobile.result","scans.Jiangmin.result","scans.Avira.result","scans.Antiy-AVL.result","scans.Kingsoft.result","scans.Gridinsoft.result","scans.Microsoft.result","scans.ViRobot.result","scans.ZoneAlarm.result","scans.GData.result","scans.BitDefenderFalx.result","scans.AhnLab-V3.result","scans.BitDefenderTheta.result","scans.TACHYON.result","scans.VBA32.result","scans.Zoner.result","scans.Tencent.result","scans.Yandex.result","scans.MAX.result","scans.MaxSecure.result","scans.Fortinet.result","scans.Panda.result","scans.Sophos.result","scans.Elastic.result","scans.AVG.result","scans.Cylance.result","scans.SentinelOne.result"
"1",2021-11-03 08:53:57,2021-11-03 08:53:57,2021-11-03 08:53:57,61,1956125,1,0,0,20,"US","ZIP",22,NA,"Adware.AndroidOS.Adlo.A!c",NA,NA,"Android.Adlo.A422d (AdWare)","Artemis!E312D3E7906C",NA,NA,NA,NA,NA,NA,"Trojan ( 0057e8751 )","Android.Malware.General (score:6)",NA,NA,NA,NA,NA,"a variant of Android/TrojanDropper.Agent.HVN",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Adlo.b",NA,NA,NA,NA,NA,NA,NA,NA,"Android.HiddenAds.2945",NA,NA,"Artemis!PUP",NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Agent.MER.Gen","Trojan/Generic.ASMalwAD.2D",NA,NA,"Trojan:Script/Sabsik.FL.B!ml",NA,"not-a-virus:HEUR:AdWare.AndroidOS.Adlo.b",NA,"Android.Trojan.Downloader.DN","PUP/Android.Hidad.1030260",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Adlo.a","Android/Agent.HVN!tr",NA,NA,NA,NA,NA,NA
"2",2021-11-03 00:26:03,2021-11-03 00:26:03,2021-11-03 00:26:03,61,2667641,1,0,0,20,"CA","ZIP",22,NA,"Adware.AndroidOS.Ewind.A!c",NA,NA,"Android.Mobby.GEN20554 (PUP)","Artemis!93DDEA2C991A",NA,NA,NA,NA,NA,NA,"Trojan ( 0055b3f51 )","Android.Malware.General (score:8)",NA,NA,NA,"Trojan:Malapp","Trojan.Gen.MBT","a variant of Android/AdDisplay.Mobby.I potentially unwanted",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Ewind.kp",NA,NA,NA,NA,NA,NA,NA,NA,"Adware.Mobby.5.origin",NA,NA,"Artemis",NA,NA,"PUA.AndroidOS.Mobby","Android:Evo-gen [Trj]",NA,"ADWARE/ANDR.Agent.FOKP.Gen",NA,NA,NA,"Adware:AndroidOS/Ewind.A",NA,NA,NA,"Android.Riskware.HiddenAds.HA","PUP/Android.Agent.995918",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Ewind.kp","Android/Erwind.A!tr",NA,NA,NA,NA,NA,NA
"3",2021-11-03 08:12:06,2021-11-03 08:12:06,2021-11-03 08:12:06,61,3998656,1,0,0,18,"UA","ZIP",28,NA,NA,NA,NA,"Android.Agent.Ac033","Artemis!BF3E6F490724",NA,NA,NA,NA,NA,NA,"Spyware ( 00521e371 )","Android.PUA.DebugKey",NA,NA,NA,NA,NA,"a variant of Android/TrojanDropper.Agent.IMA",NA,NA,"Malicious (score: 99)","HEUR:Trojan-Dropper.AndroidOS.Hqwar.bk",NA,"Trojan.Android.BankBot.jcmunb",NA,NA,NA,NA,NA,NA,"Android.BankBot.10555",NA,NA,NA,NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Dropper.FKAR.Gen",NA,NA,NA,"Trojan:AndroidOS/Multiverze",NA,"HEUR:Trojan-Dropper.AndroidOS.Hqwar.bk",NA,"Android.Trojan.Banker.WT","Trojan/Android.Marcher.1028025",NA,NA,NA,NA,NA,NA,NA,NA,"Android/Agent.IMA!tr",NA,"Andr/Banker-HAB",NA,NA,NA,NA
"4",2021-11-03 08:44:36,2015-01-20 23:53:18,2021-11-03 08:44:36,64,500276,263,18,13,26,"IE","ZIP",17,NA,"Hacktool.AndroidOS.Wifikill.B!c",NA,NA,"Android.Wifikill.B (PUP)","Artemis!2D3809D0EE53",NA,NA,NA,"Malware.Android-Script.Save.cd50f164",NA,NA,"Trojan ( 004a9dfb1 )","Android.PUA.General",NA,NA,NA,"Hacktool:Wifikill","Trojan.Gen.2","a variant of Android/WifiKill.E potentially unsafe",NA,"Android:WifiKill-L [PUP]","Malicious (score: 99)","HEUR:HackTool.AndroidOS.Wifikill.c",NA,NA,NA,NA,NA,NA,"Malware@#1wvdcd4fhp36v",NA,NA,NA,NA,"Artemis!Trojan",NA,NA,"PUA.AndroidOS.Wifikill","Android:WifiKill-L [PUP]",NA,"SPR/ANDR.WifiKill.A.Gen","Trojan/Generic.ASMalwAD.764",NA,NA,"Trojan:Win32/Occamy.C03",NA,NA,NA,"Android.Trojan.Agent.X","AppCare/Android.Agent.37530",NA,NA,NA,NA,"a.gray.wifime",NA,"malware (ai score=100)",NA,"Android/Generic.S.64F1!tr",NA,"Android WiFiKill (PUA)",NA,"Android:WifiKill-L [PUP]",NA,NA
"5",2021-11-03 08:54:32,2021-11-03 08:54:32,2021-11-03 08:54:32,62,1956125,1,0,0,20,"US","ZIP",22,NA,"Adware.AndroidOS.Adlo.A!c",NA,NA,"Android.Adlo.A422d (AdWare)","Artemis!E312D3E7906C",NA,NA,NA,NA,NA,NA,"Trojan ( 0057e8751 )","Android.Malware.General (score:6)",NA,NA,NA,NA,NA,"a variant of Android/TrojanDropper.Agent.HVN",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Adlo.b",NA,NA,NA,NA,NA,NA,NA,NA,"Android.HiddenAds.2945",NA,NA,"Artemis!PUP",NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Agent.MER.Gen","Trojan/Generic.ASMalwAD.2D",NA,NA,"Trojan:Script/Sabsik.FL.B!ml",NA,NA,NA,"Android.Trojan.Downloader.DN","PUP/Android.Hidad.1030260",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Adlo.a","Android/Agent.HVN!tr",NA,"Andr/Xgen2-YR",NA,NA,NA,NA
"6",2021-11-03 08:22:50,2021-11-03 08:22:50,2021-11-03 08:22:50,61,4137920,1,0,0,18,"UA","ZIP",28,NA,NA,NA,NA,NA,"Artemis!22C0A8828F11",NA,NA,NA,NA,NA,NA,"Trojan ( 005806451 )","Android.PUA.DebugKey",NA,NA,NA,NA,NA,"a variant of Android/TrojanDropper.Agent.IVA",NA,NA,"Malicious (score: 99)","HEUR:Trojan-Dropper.AndroidOS.Hqwar.bk",NA,"Trojan.Android.BankBot.jggbnd",NA,NA,NA,NA,NA,"Malware.ANDROID/Dropper.FJVV.Gen","Android.BankBot.11138",NA,NA,NA,NA,NA,"Trojan-Banker.AndroidOS.Flubot","Android:Evo-gen [Trj]",NA,"ANDROID/Dropper.FJVV.Gen",NA,NA,NA,"Trojan:Script/Wacatac.B!ml",NA,"HEUR:Trojan-Dropper.AndroidOS.Hqwar.bk",NA,"Android.Riskware.PackMal.QP","Trojan/Android.Marcher.1028025",NA,NA,NA,NA,NA,NA,NA,NA,"Android/Agent.IVA!tr",NA,"Andr/Banker-HAB",NA,NA,NA,NA
"7",2021-11-03 07:43:10,2021-06-03 18:29:36,2021-11-03 07:43:10,61,3031864,2,0,0,15,"UA","ZIP",NA,NA,"Trojan.AndroidOS.Agent.C!c",NA,NA,"Android.Dowgin.BM (AdWare)","Artemis!B8456AE6435A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AppRisk:Generisk","Trojan.Gen.2","a variant of Android/AdDisplay.Dowgin.DQ potentially unwanted",NA,NA,NA,"HEUR:Trojan-Dropper.AndroidOS.Agent.nu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artemis!Trojan",NA,NA,"PUA.AndroidOS.Dowgin",NA,NA,NA,NA,NA,NA,"DoS:AndroidOS/Multiverze",NA,"HEUR:Trojan-Dropper.AndroidOS.Agent.nu",NA,"Android.Adware.Dowgin.YI",NA,NA,NA,NA,NA,"Dos.Trojan-dropper.Agent.Pezd",NA,NA,NA,"Riskware/Generic.Z.1114DCE!Android",NA,"Android Dowgin (PUA)",NA,NA,NA,NA
"8",2021-11-03 00:25:19,2021-11-03 00:25:19,2021-11-03 00:25:19,60,2669106,1,0,0,20,"CA","ZIP",22,NA,"Adware.AndroidOS.Ewind.A!c",NA,NA,"Android.Mobby.GEN20554 (PUP)","Artemis!919A1900C529",NA,NA,NA,NA,NA,NA,"Trojan ( 005537a81 )","Android.Malware.General (score:8)",NA,NA,NA,"Trojan:Malapp","Trojan.Gen.MBT","a variant of Android/AdDisplay.Mobby.I potentially unwanted",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Ewind.kp",NA,NA,NA,NA,NA,NA,NA,NA,"Adware.Mobby.5.origin",NA,NA,"Artemis",NA,NA,"PUA.AndroidOS.Mobby","Android:Evo-gen [Trj]",NA,"ADWARE/ANDR.Agent.FOKP.Gen",NA,NA,NA,"Adware:AndroidOS/Ewind.A",NA,NA,NA,"Android.Riskware.HiddenAds.HA","PUP/Android.Agent.995918",NA,NA,NA,NA,NA,NA,NA,NA,"Android/Erwind.A!tr",NA,"Android Ewind (PUA)",NA,NA,NA,NA
"9",2021-11-03 00:19:30,2021-11-03 00:19:30,2021-11-03 00:19:30,60,2669106,1,0,0,21,"CA","ZIP",22,NA,"Adware.AndroidOS.Ewind.A!c",NA,NA,"Android.Mobby.GEN20554 (PUP)","Artemis!919A1900C529",NA,NA,NA,NA,NA,NA,"Trojan ( 005537a81 )","Android.Malware.General (score:8)",NA,NA,NA,"Trojan:Malapp","Trojan.Gen.MBT","a variant of Android/AdDisplay.Mobby.I potentially unwanted",NA,NA,"Malicious (score: 99)","not-a-virus:UDS:AdWare.AndroidOS.Ewind.kp",NA,NA,NA,NA,NA,NA,NA,NA,"Adware.Mobby.5.origin",NA,NA,"Artemis",NA,NA,"PUA.AndroidOS.Mobby","Android:Evo-gen [Trj]",NA,"ADWARE/ANDR.Agent.FOKP.Gen",NA,NA,NA,NA,NA,"not-a-virus:HEUR:AdWare.AndroidOS.Ewind.kp",NA,"Android.Riskware.HiddenAds.HA","PUP/Android.Agent.995918",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Ewind.kp","Android/Erwind.A!tr",NA,"Android Ewind (PUA)",NA,NA,NA,NA
"10",2021-11-03 08:00:30,2017-11-28 15:53:18,2021-11-03 08:00:30,60,5884,4,0,0,25,"CZ","DEX",NA,NA,NA,NA,NA,NA,"Artemis!1E07E4821182",NA,NA,NA,"Malware.Generic-Script.Save.c1ba3147",NA,NA,"Trojan ( 0051a3c71 )",NA,NA,NA,"AndroidOS/GhostPush.C.gen!Eldorado","AppRisk:Generisk","Trojan.Gen.MBT","a variant of Android/TrojanDropper.Shedun.V",NA,"Android:Revo-OU [Trj]","Malicious (score: 99)","HEUR:Trojan-Dropper.AndroidOS.Wapnor.a",NA,"Trojan.Android.MLW.ebzlbe",NA,NA,NA,NA,"Malware@#1hgneb715c3ix",NA,"Android.DownLoader.329.origin",NA,NA,"Artemis!Trojan",NA,NA,"Trojan-Dropper.AndroidOS.Shedun","Android:Shedun-V [Trj]",NA,"ANDROID/Agent.hutg","Trojan/Generic.ASMalwAD.6D6",NA,NA,"TrojanDropper:AndroidOS/Shedun.A!MTB",NA,NA,NA,NA,"PUP/Android.Agent.839002",NA,NA,NA,NA,"Dos.Trojan-dropper.Piom.Dygt",NA,"malware (ai score=99)","Android.wapnor.a","Android/Shedun.AC!tr",NA,NA,NA,"Android:Revo-OU [Trj]",NA,NA
